   1 AD authentication	VPNs
   2 victims	governments
   2 victims whereabouts	name
   2 victims whereabouts	place
   1 video uploading sites	Flickr
   1 video uploading sites	YouTube
   1 video uploading sites	blogs
   1 viruses	the form
   1 vulnerabilities	none
   1 vulnerabilities	the computer
   2 vulnerabilities	info leakage
   1 vulnerable application	Adobe Flash
   1 wab32res	Application Data directory
   1 warfare	cyber
   1 warfare	the legal framework
   1 warfare	virulent form
   1 watering hole attacks	websites
   1 watering holes	forums
   1 ways	VLAN separation
   1 ways	application whitelisting
   1 we11point	WHOIS details
   1 weapon	malwares
   1 weaponised document	the same sort
   1 weapons	ANGELS
   1 weapons	APT groups
   1 weapons	Cyber attacks
   1 weapons	support
   1 web application security flaws	SQLi
   1 web application security flaws	XSS
   1 web email	some form
   1 web form	a comment field
   1 web server software	Apache
   1 web server software	Microsoft Internet Information Services
   1 web services	Apache
   1 websites	Bing
   1 websites	Blogs
   1 websites	Facebook
   1 websites	Google
   1 websites	Jerusalem Post
   1 websites	Maariv news
   1 websites	adult sites
   1 websites	legitimate news
   1 websites	media websites
   1 websites	online stores
   1 websites	politics
   1 whales	Apple
   1 whales	Facebook
   1 whales	Microsoft
   1 win32res	Application Data directory
   1 windows version	any service packs
   1 winone1	similar content
   1 witness	the phenomenon
   1 word	this folder
   1 words	blog
   1 words	guohui
   1 words	image
   1 words	mail
   1 words	minzhu
   1 words	news
   1 words	pic
   1 words	ssl
   1 words	xuehui
   1 work	this sort
   1 workarounds	the use
   1 working hours	office employees
   1 world	cryptcat
   1 world	netcat
   1 worms	networks
   1 www	IP
   1 years	bug
   1 years	government
   1 years	hacktivists
   1 years	maintenance
   1 years	malware
   1 years	practitioners
   1 zip ASDELETE	upload
   1 â	a form
   1 壳	the malware author
