   1 0	Yes
   2 value	indicators
   1 values	corruption
   1 valves	valves
   1 variant	Trojan
   1 variant	targets
   1 various conference materials	a slideshow
   1 various news agencies	media resources
   1 vendors	Maudi
   1 vendors	stakeholders
   1 victims	Sofacy
   1 victims	part
   1 video	a lureâ
   1 video capturing	RATs
   1 video files	camouflage
   1 video uploading	available free web sources
   1 videos	open source information
   1 violence	an armed attack
   1 virtual address	position member
   1 virtual environment detection	detection
   1 virulent form	warfare
   1 viruses	malicious code
   1 viruses	malware
   1 visibility	a vendor
   1 visitors	cases
   1 visitors	the target organization
   1 voice mail number	network metadata
   1 volunteer cyber expertise	Russia
   1 vulnerability	a way
   1 vulnerability detection	features
   1 vulnerability mining	issues
   1 war	a political activity
   1 warfare	a means
   1 warnings	tactics
   1 waste	stocks
   1 watchdog organizations	groups
   1 watches	attributes
   1 watches	goods
   1 water	mini power plants
   1 water	stocks
   1 water systems	facilities
   1 water systems	multiple industrial control industries
   1 waterholes	techniques
   1 waterholing	malware
   1 waterholing	this targeted philosophy
   1 ways	time passes
   2 weaponry capabilities	topics
   1 weapons	a response
   1 weapons	systems
   1 weather	s homepage
   1 web browsers	Internet data
   1 web browsers	applications
   1 web cameras	devices
   1 web mail	AD authentication
   1 web money	payment systems
   1 web pages	a means
   1 webcam view	commands
   1 webcams	peripherals
   1 webmail	the target organization
   1 website	a sponsor
   1 website hosting	types
   1 websites	a result
   1 websites	watering hole attacks
   2 wget	applications
   1 whois	tools
   1 wife	a lure
   1 wifi	intelligence
   1 wind	mini power plants
   1 words	keywords
   1 work	a deputy head
   1 workstations	local network
   1 worms	malicious code
   1 worms	malware
   1 xor	operators
   1 xuehui	words
   1 years	a means
   1 years	an officer
   1 years	camouflage
   1 zones	a result
   1 zwShell application	required 
